callsiteId,predicate,agree,disagree_permissive,disagree_restrictive,finite_violation,total_calls
picking_closest_cell_center,homogClip,1120,0,12983,0,14103
picking_closest_cell_center,legacyRectFinite,14103,0,0,0,14103
picking_closest_cell_center,rectGuard,14103,0,0,0,14103
picking_closest_cell_center,rectNearFar,1120,0,12983,0,14103
picking_closest_cell_center,rectSignedW,1120,0,12983,0,14103
picking_closest_vertex_fallback,homogClip,380770,0,19230,0,400000
picking_closest_vertex_fallback,legacyRectFinite,400000,0,0,0,400000
picking_closest_vertex_fallback,rectGuard,400000,0,0,0,400000
picking_closest_vertex_fallback,rectNearFar,380770,0,19230,0,400000
picking_closest_vertex_fallback,rectSignedW,380770,0,19230,0,400000
terrain_cpu_vert_admit,homogClip,3919977,4,2369795,0,6289776
terrain_cpu_vert_admit,legacyRectFinite,6289776,0,0,0,6289776
terrain_cpu_vert_admit,rectGuard,6289776,0,0,0,6289776
terrain_cpu_vert_admit,rectNearFar,3919981,0,2369795,0,6289776
terrain_cpu_vert_admit,rectSignedW,3920117,0,2369659,0,6289776
terrain_quad_vert0_admit,homogClip,21955,2,6611,0,28568
terrain_quad_vert0_admit,legacyRectFinite,28568,0,0,0,28568
terrain_quad_vert0_admit,rectGuard,28568,0,0,0,28568
terrain_quad_vert0_admit,rectNearFar,21957,0,6611,0,28568
terrain_quad_vert0_admit,rectSignedW,21978,0,6590,0,28568
terrain_quad_vert1_admit,homogClip,49759,2,15667,0,65428
terrain_quad_vert1_admit,legacyRectFinite,65428,0,0,0,65428
terrain_quad_vert1_admit,rectGuard,65428,0,0,0,65428
terrain_quad_vert1_admit,rectNearFar,49761,0,15667,0,65428
terrain_quad_vert1_admit,rectSignedW,49768,0,15660,0,65428
terrain_quad_vert2_admit,homogClip,1091971,1,820500,0,1912472
terrain_quad_vert2_admit,legacyRectFinite,1912472,0,0,0,1912472
terrain_quad_vert2_admit,rectGuard,1912472,0,0,0,1912472
terrain_quad_vert2_admit,rectNearFar,1091972,0,820500,0,1912472
terrain_quad_vert2_admit,rectSignedW,1093868,0,818604,0,1912472
terrain_quad_vert3_admit,homogClip,64776,2,28737,0,93515
terrain_quad_vert3_admit,legacyRectFinite,93515,0,0,0,93515
terrain_quad_vert3_admit,rectGuard,93515,0,0,0,93515
terrain_quad_vert3_admit,rectNearFar,64778,0,28737,0,93515
terrain_quad_vert3_admit,rectSignedW,64800,0,28715,0,93515
unknown,homogClip,475058,231,2790139,0,3265428
unknown,legacyRectFinite,3265428,0,0,0,3265428
unknown,rectGuard,3265428,0,0,0,3265428
unknown,rectNearFar,475289,0,2790139,0,3265428
unknown,rectSignedW,475289,0,2790139,0,3265428
